name,brand,price,product_link,rating
Men Slim Fit Chinos Trousers,Levis,Rs. 1139Rs. 2999(62% OFF),,"<span>4.3</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1111 -->12<!-- /react-text --></div>"
Men Slim Fit Chinos Trousers,Roadster,Rs. 599Rs. 1499(60% OFF),,"<span>3.9</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1152 -->29.9k<!-- /react-text --></div>"
Textured Cotton Trousers,ColorPlus,Rs. 1469Rs. 2999(51% OFF),,
Men Tapered Fit Chinos Trouser,HIGHLANDER,Rs. 503Rs. 2399(79% OFF),,"<span>4.2</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1230 -->94<!-- /react-text --></div>"
Men Regular Fit Woven Chinos,Roadster,Rs. 594Rs. 1699(65% OFF),,"<span>4.2</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1272 -->319<!-- /react-text --></div>"
Men Tapered Fit Chinos Trouser,Parx,Rs. 1154Rs. 2099(45% OFF),,
Men Slim Fit Chinos Trousers,Allen Solly,Rs. 1249Rs. 2499(50% OFF),,"<span>4.7</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1349 -->10<!-- /react-text --></div>"
Men Mid Rise Slim Fit Chinos,Van Heusen,Rs. 1039Rs. 2599(60% OFF),,"<span>3.5</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1391 -->58<!-- /react-text --></div>"
Men Tapered Fit Trousers,Parx,Rs. 1264Rs. 2299(45% OFF),,
Men Slim Fit Chinos Trousers,Louis Philippe Sport,Rs. 1199Rs. 2399(50% OFF),,"<span>4.4</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1469 -->210<!-- /react-text --></div>"
Textured Skinny Fit Chinos,Blackberrys,Rs. 878Rs. 2195(60% OFF),,"<span>3.4</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1510 -->30<!-- /react-text --></div>"
Slim Fit Chinos Trousers,Parx,Rs. 1154Rs. 2099(45% OFF),,
Men Slim Fit Chinos,Allen Solly,Rs. 899Rs. 1999(55% OFF),,"<span>4.8</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1588 -->11<!-- /react-text --></div>"
Men Slim Fit Chinos,HIGHLANDER,Rs. 699Rs. 1899(Rs. 1200 OFF),,
Tapered Fit Chinos Trousers,Parx,Rs. 1209Rs. 2199(45% OFF),,
Men Cotton Chinos Trousers,Provogue,Rs. 899Rs. 2999(Rs. 2100 OFF),,"<span>4.9</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1701 -->9<!-- /react-text --></div>"
Men Tapered Fit Chinos,HIGHLANDER,Rs. 743Rs. 1549(52% OFF),,"<span>3.9</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1743 -->119.2k<!-- /react-text --></div>"
Men Tapered Chinos Trousers,Parx,Rs. 1264Rs. 2299(45% OFF),,
Men Tapered Fit Chinos Trousers,Roadster,Rs. 649Rs. 1299(50% OFF),,"<span>3.9</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1820 -->29.9k<!-- /react-text --></div>"
Men Slim Fit Chinos,Mast & Harbour,Rs. 499Rs. 2699(Rs. 2200 OFF),,"<span>4.1</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1861 -->1k<!-- /react-text --></div>"
Tapered Fit Low-Rise Trousers,Parx,Rs. 1209Rs. 2199(45% OFF),,
Men Slim Tapered Fit Trousers,Levis,Rs. 2309Rs. 3299(30% OFF),,"<span>4.9</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1938 -->16<!-- /react-text --></div>"
Men Cotton Chinos Trousers,Provogue,Rs. 899Rs. 2999(Rs. 2100 OFF),,"<span>4.4</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 1980 -->18<!-- /react-text --></div>"
Men Tapered Fit Chinos Trouser,Parx,Rs. 1264Rs. 2299(45% OFF),,
Men Slim Fit Chinos Trousers,Roadster,Rs. 614Rs. 1499(59% OFF),,"<span>3.9</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 2058 -->29.9k<!-- /react-text --></div>"
Men Slim Fit Cotton Trousers,Indian Terrain,Rs. 899Rs. 2999(70% OFF),,"<span>3.8</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 2099 -->15<!-- /react-text --></div>"
Tapered Fit Low-Rise Trousers,Parx,Rs. 1209Rs. 2199(45% OFF),,
Men 512 Slim Fit Chinos,Levis,Rs. 923Rs. 2799(67% OFF),,"<span>4.4</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 2176 -->31<!-- /react-text --></div>"
Men Chinos,Roadster,Rs. 896Rs. 2299(61% OFF),,"<span>4.1</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 2217 -->388<!-- /react-text --></div>"
Cotton Mid-Rise Trousers,ColorPlus,Rs. 1469Rs. 2999(51% OFF),,"<span>4.1</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 2258 -->27<!-- /react-text --></div>"
Men Slim Fit Chinos Trousers,WROGN,Rs. 1033Rs. 2199(53% OFF),,
Men Semi Formal Trousers,Flying Machine,Rs. 999Rs. 1999(50% OFF),,"<span>4.2</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 2335 -->18<!-- /react-text --></div>"
Men Mid Rise Cotton Chinos,ColorPlus,Rs. 1714Rs. 3499(51% OFF),,
